index,code,date,token,token_7,close_b1,close_b2,close_b3
沪深300,sh000300,2025-06-06,跌涨跌_反转,转折,3877.56,3873.98,3885.25
沪深300,sh000300,2025-06-09,涨跌涨_假突破,转折,3873.98,3885.25,3865.4700000000003
沪深300,sh000300,2025-06-10,包含关系,包含关系,3885.25,3865.4700000000003,3894.63
沪深300,sh000300,2025-06-11,顶分型,顶分型,3865.4700000000003,3894.63,3892.2000000000003
沪深300,sh000300,2025-06-12,简单下跌,方向,3894.63,3892.2000000000003,3864.1800000000003
沪深300,sh000300,2025-06-13,跌涨跌_诱多,转折,3892.2000000000003,3864.1800000000003,3873.8
沪深300,sh000300,2025-06-16,底分型,底分型,3864.1800000000003,3873.8,3870.38
沪深300,sh000300,2025-06-17,跌涨跌_反转,转折,3873.8,3870.38,3874.9700000000003
沪深300,sh000300,2025-06-18,包含关系,包含关系,3870.38,3874.9700000000003,3843.09
沪深300,sh000300,2025-06-19,底分型,底分型,3874.9700000000003,3843.09,3846.64
沪深300,sh000300,2025-06-20,包含关系,包含关系,3843.09,3846.64,3857.9
沪深300,sh000300,2025-06-23,包含关系,包含关系,3846.64,3857.9,3904.03
沪深300,sh000300,2025-06-24,简单上涨,方向,3857.9,3904.03,3960.07
沪深300,sh000300,2025-06-25,涨跌涨,转折,3904.03,3960.07,3946.02
沪深300,sh000300,2025-06-26,简单下跌,方向,3960.07,3946.02,3921.76
沪深300,sh000300,2025-06-27,包含关系,包含关系,3946.02,3921.76,3936.08
沪深300,sh000300,2025-06-30,底分型,底分型,3921.76,3936.08,3942.76
沪深300,sh000300,2025-07-01,简单上涨,方向,3936.08,3942.76,3943.6800000000003
沪深300,sh000300,2025-07-02,简单上涨,方向,3942.76,3943.6800000000003,3968.07
沪深300,sh000300,2025-07-03,简单上涨,方向,3943.6800000000003,3968.07,3982.2000000000003
沪深300,sh000300,2025-07-04,顶分型,顶分型,3968.07,3982.2000000000003,3965.17
沪深300,sh000300,2025-07-07,底分型,底分型,3982.2000000000003,3965.17,3998.4500000000003
沪深300,sh000300,2025-07-08,涨跌涨,转折,3965.17,3998.4500000000003,3991.4
沪深300,sh000300,2025-07-09,跌涨跌_反转,转折,3998.4500000000003,3991.4,4010.02
沪深300,sh000300,2025-07-10,简单上涨,方向,3991.4,4010.02,4014.81
沪深300,sh000300,2025-07-11,顶分型,顶分型,4010.02,4014.81,4017.67
沪深300,sh000300,2025-07-14,包含关系,包含关系,4014.81,4017.67,4019.06
沪深300,sh000300,2025-07-15,包含关系,包含关系,4017.67,4019.06,4007.2000000000003
沪深300,sh000300,2025-07-16,底分型,底分型,4019.06,4007.2000000000003,4034.4900000000002
沪深300,sh000300,2025-07-17,简单上涨,方向,4007.2000000000003,4034.4900000000002,4058.55
沪深300,sh000300,2025-07-18,简单上涨,方向,4034.4900000000002,4058.55,4085.61
沪深300,sh000300,2025-07-21,简单上涨,方向,4058.55,4085.61,4118.96
沪深300,sh000300,2025-07-22,简单上涨,方向,4085.61,4118.96,4119.77
沪深300,sh000300,2025-07-23,顶分型,顶分型,4118.96,4119.77,4149.04
沪深300,sh000300,2025-07-24,底分型,底分型,4119.77,4149.04,4127.16
沪深300,sh000300,2025-07-25,包含关系,包含关系,4149.04,4127.16,4135.82
沪深300,sh000300,2025-07-28,底分型,底分型,4127.16,4135.82,4152.02
沪深300,sh000300,2025-07-29,涨跌涨,转折,4135.82,4152.02,4151.24
沪深300,sh000300,2025-07-30,顶分型,顶分型,4152.02,4151.24,4075.59
沪深300,sh000300,2025-07-31,简单下跌,方向,4151.24,4075.59,4054.9300000000003
沪深300,sh000300,2025-08-01,跌涨跌_诱多,转折,4075.59,4054.9300000000003,4070.7000000000003
沪深300,sh000300,2025-08-04,底分型,底分型,4054.9300000000003,4070.7000000000003,4103.45
沪深300,sh000300,2025-08-05,简单上涨,方向,4070.7000000000003,4103.45,4113.49
沪深300,sh000300,2025-08-06,简单上涨,方向,4103.45,4113.49,4114.67
沪深300,sh000300,2025-08-07,包含关系,包含关系,4113.49,4114.67,4104.97
沪深300,sh000300,2025-08-08,包含关系,包含关系,4114.67,4104.97,4122.51
沪深300,sh000300,2025-08-11,简单上涨,方向,4104.97,4122.51,4143.83
沪深300,sh000300,2025-08-12,简单上涨,方向,4122.51,4143.83,4176.58
沪深300,sh000300,2025-08-13,涨跌涨,转折,4143.83,4176.58,4173.31
沪深300,sh000300,2025-08-14,顶分型,顶分型,4176.58,4173.31,4202.35
沪深300,sh000300,2025-08-15,底分型,底分型,4173.31,4202.35,4239.41
沪深300,sh000300,2025-08-18,顶分型,顶分型,4202.35,4239.41,4223.37
沪深300,sh000300,2025-08-19,包含关系,包含关系,4239.41,4223.37,4271.4
沪深300,sh000300,2025-08-20,包含关系,包含关系,4223.37,4271.4,4288.07
沪深300,sh000300,2025-08-21,简单上涨,方向,4271.4,4288.07,4378.0
沪深300,sh000300,2025-08-22,简单上涨,方向,4288.07,4378.0,4469.22
沪深300,sh000300,2025-08-25,涨跌涨,转折,4378.0,4469.22,4452.59
沪深300,sh000300,2025-08-26,简单下跌,方向,4469.22,4452.59,4386.13
沪深300,sh000300,2025-08-27,包含关系,包含关系,4452.59,4386.13,4463.78
沪深300,sh000300,2025-08-28,底分型,底分型,4386.13,4463.78,4496.76
沪深300,sh000300,2025-08-29,简单上涨,方向,4463.78,4496.76,4523.71
沪深300,sh000300,2025-09-01,涨跌涨_假突破,转折,4496.76,4523.71,4490.45
沪深300,sh000300,2025-09-02,包含关系,包含关系,4523.71,4490.45,4459.83
沪深300,sh000300,2025-09-03,简单下跌,方向,4490.45,4459.83,4365.21
沪深300,sh000300,2025-09-04,底分型,底分型,4459.83,4365.21,4460.32
沪深300,sh000300,2025-09-05,简单上涨,方向,4365.21,4460.32,4467.57
沪深300,sh000300,2025-09-08,顶分型,顶分型,4460.32,4467.57,4436.26
沪深300,sh000300,2025-09-09,底分型,底分型,4467.57,4436.26,4445.36
沪深300,sh000300,2025-09-10,包含关系,包含关系,4436.26,4445.36,4548.03
沪深300,sh000300,2025-09-11,涨跌涨,转折,4445.36,4548.03,4522.0
沪深300,sh000300,2025-09-12,跌涨跌_诱多,转折,4548.03,4522.0,4533.06
沪深300,sh000300,2025-09-15,顶分型,顶分型,4522.0,4533.06,4523.34
沪深300,sh000300,2025-09-16,底分型,底分型,4533.06,4523.34,4551.02
沪深300,sh000300,2025-09-17,涨跌涨_假突破,转折,4523.34,4551.02,4498.11
沪深300,sh000300,2025-09-18,包含关系,包含关系,4551.02,4498.11,4501.92
沪深300,sh000300,2025-09-19,包含关系,包含关系,4498.11,4501.92,4522.61
沪深300,sh000300,2025-09-22,涨跌涨,转折,4501.92,4522.61,4519.78
沪深300,sh000300,2025-09-23,包含关系,包含关系,4522.61,4519.78,4566.07
沪深300,sh000300,2025-09-24,简单上涨,方向,4519.78,4566.07,4593.49
沪深300,sh000300,2025-09-25,顶分型,顶分型,4566.07,4593.49,4550.05
沪深300,sh000300,2025-09-26,跌涨跌_反转,转折,4593.49,4550.05,4620.05
沪深300,sh000300,2025-09-29,包含关系,包含关系,4550.05,4620.05,4640.6900000000005
沪深300,sh000300,2025-09-30,包含关系,包含关系,4620.05,4640.6900000000005,4709.4800000000005
沪深300,sh000300,2025-10-09,顶分型,顶分型,4640.6900000000005,4709.4800000000005,4616.83
沪深300,sh000300,2025-10-10,简单下跌,方向,4709.4800000000005,4616.83,4593.9800000000005
沪深300,sh000300,2025-10-13,底分型,底分型,4616.83,4593.9800000000005,4539.06
沪深300,sh000300,2025-10-14,顶分型,顶分型,4593.9800000000005,4539.06,4606.29
沪深300,sh000300,2025-10-15,包含关系,包含关系,4539.06,4606.29,4618.42
沪深300,sh000300,2025-10-16,顶分型,顶分型,4606.29,4618.42,4514.2300000000005
沪深300,sh000300,2025-10-17,底分型,底分型,4618.42,4514.2300000000005,4538.22
沪深300,sh000300,2025-10-20,包含关系,包含关系,4514.2300000000005,4538.22,4607.87
沪深300,sh000300,2025-10-21,顶分型,顶分型,4538.22,4607.87,4592.57
沪深300,sh000300,2025-10-22,包含关系,包含关系,4607.87,4592.57,4606.34
沪深300,sh000300,2025-10-23,包含关系,包含关系,4592.57,4606.34,4660.68
沪深300,sh000300,2025-10-24,简单上涨,方向,4606.34,4660.68,4716.02
沪深300,sh000300,2025-10-27,涨跌涨,转折,4660.68,4716.02,4691.97
沪深300,sh000300,2025-10-28,包含关系,包含关系,4716.02,4691.97,4747.84
沪深300,sh000300,2025-10-29,涨跌涨,转折,4691.97,4747.84,4709.91
沪深300,sh000300,2025-10-30,顶分型,顶分型,4747.84,4709.91,4640.67
沪深300,sh000300,2025-10-31,跌涨跌_诱多,转折,4709.91,4640.67,4653.400000000001
沪深300,sh000300,2025-11-03,涨跌涨_假突破,转折,4640.67,4653.400000000001,4618.7
沪深300,sh000300,2025-11-04,包含关系,包含关系,4653.400000000001,4618.7,4627.26
沪深300,sh000300,2025-11-05,底分型,底分型,4618.7,4627.26,4693.400000000001
沪深300,sh000300,2025-11-06,涨跌涨,转折,4627.26,4693.400000000001,4678.79
沪深300,sh000300,2025-11-07,顶分型,顶分型,4693.400000000001,4678.79,4695.05
沪深300,sh000300,2025-11-10,涨跌涨_假突破,转折,4678.79,4695.05,4652.17
沪深300,sh000300,2025-11-11,包含关系,包含关系,4695.05,4652.17,4645.91
沪深300,sh000300,2025-11-12,底分型,底分型,4652.17,4645.91,4702.07
沪深300,sh000300,2025-11-13,顶分型,顶分型,4645.91,4702.07,4628.14
沪深300,sh000300,2025-11-14,简单下跌,方向,4702.07,4628.14,4598.05
沪深300,sh000300,2025-11-17,简单下跌,方向,4628.14,4598.05,4568.1900000000005
沪深300,sh000300,2025-11-18,底分型,底分型,4598.05,4568.1900000000005,4588.29
沪深300,sh000300,2025-11-19,涨跌涨_假突破,转折,4568.1900000000005,4588.29,4564.95
沪深300,sh000300,2025-11-20,包含关系,包含关系,4588.29,4564.95,4453.61
沪深300,sh000300,2025-11-21,简单下跌,方向,4564.95,4453.61,4448.05
沪深300,sh000300,2025-11-24,底分型,底分型,4453.61,4448.05,4490.400000000001
沪深300,sh000300,2025-11-25,简单上涨,方向,4448.05,4490.400000000001,4517.63
沪深300,sh000300,2025-11-26,涨跌涨,转折,4490.400000000001,4517.63,4515.400000000001
沪深300,sh000300,2025-11-27,顶分型,顶分型,4517.63,4515.400000000001,4526.66
沪深300,sh000300,2025-11-28,底分型,底分型,4515.400000000001,4526.66,4576.49
沪深300,sh000300,2025-12-01,顶分型,顶分型,4526.66,4576.49,4554.33
沪深300,sh000300,2025-12-02,包含关系,包含关系,4576.49,4554.33,4531.05
沪深300,sh000300,2025-12-03,跌涨跌_诱多,转折,4554.33,4531.05,4546.57
沪深300,sh000300,2025-12-04,底分型,底分型,4531.05,4546.57,4584.54
沪深300,sh000300,2025-12-05,简单上涨,方向,4546.57,4584.54,4621.75
沪深300,sh000300,2025-12-08,顶分型,顶分型,4584.54,4621.75,4598.22
沪深300,sh000300,2025-12-09,简单下跌,方向,4621.75,4598.22,4591.83
沪深300,sh000300,2025-12-10,简单下跌,方向,4598.22,4591.83,4552.18
沪深300,sh000300,2025-12-11,包含关系,包含关系,4591.83,4552.18,4580.95
沪深300,sh000300,2025-12-12,底分型,底分型,4552.18,4580.95,4552.06
沪深300,sh000300,2025-12-15,顶分型,顶分型,4580.95,4552.06,4497.55
沪深300,sh000300,2025-12-16,底分型,底分型,4552.06,4497.55,4579.88
沪深300,sh000300,2025-12-17,顶分型,顶分型,4497.55,4579.88,4552.79
沪深300,sh000300,2025-12-18,包含关系,包含关系,4579.88,4552.79,4568.18
沪深300,sh000300,2025-12-19,简单上涨,方向,4552.79,4568.18,4611.62
沪深300,sh000300,2025-12-22,简单上涨,方向,4568.18,4611.62,4620.7300000000005
沪深300,sh000300,2025-12-23,顶分型,顶分型,4611.62,4620.7300000000005,4634.06
沪深300,sh000300,2025-12-24,底分型,底分型,4620.7300000000005,4634.06,4642.54
沪深300,sh000300,2025-12-25,简单上涨,方向,4634.06,4642.54,4657.24
沪深300,sh000300,2025-12-26,顶分型,顶分型,4642.54,4657.24,4639.37
沪深300,sh000300,2025-12-29,跌涨跌_诱多,转折,4657.24,4639.37,4651.28
沪深300,sh000300,2025-12-30,底分型,底分型,4639.37,4651.28,4629.9400000000005
沪深300,sh000300,2025-12-31,跌涨跌_反转,转折,4651.28,4629.9400000000005,4717.75
沪深300,sh000300,2026-01-05,简单上涨,方向,4629.9400000000005,4717.75,4790.6900000000005
沪深300,sh000300,2026-01-06,涨跌涨,转折,4717.75,4790.6900000000005,4776.67
沪深300,sh000300,2026-01-07,顶分型,顶分型,4790.6900000000005,4776.67,4737.650000000001
沪深300,sh000300,2026-01-08,底分型,底分型,4776.67,4737.650000000001,4758.92
沪深300,sh000300,2026-01-09,简单上涨,方向,4737.650000000001,4758.92,4789.92
沪深300,sh000300,2026-01-12,涨跌涨,转折,4758.92,4789.92,4761.03
沪深300,sh000300,2026-01-13,顶分型,顶分型,4789.92,4761.03,4741.93
沪深300,sh000300,2026-01-14,底分型,底分型,4761.03,4741.93,4751.43
沪深300,sh000300,2026-01-15,包含关系,包含关系,4741.93,4751.43,4731.87
沪深300,sh000300,2026-01-16,包含关系,包含关系,4751.43,4731.87,4734.46
沪深300,sh000300,2026-01-19,涨跌涨_假突破,转折,4731.87,4734.46,4718.88
沪深300,sh000300,2026-01-20,底分型,底分型,4734.46,4718.88,4723.07
沪深300,sh000300,2026-01-21,顶分型,顶分型,4718.88,4723.07,4723.71
沪深300,sh000300,2026-01-22,涨跌涨_假突破,转折,4723.07,4723.71,4702.5
沪深300,sh000300,2026-01-23,底分型,底分型,4723.71,4702.5,4706.96
沪深300,sh000300,2026-01-26,顶分型,顶分型,4702.5,4706.96,4705.6900000000005
沪深300,sh000300,2026-01-27,底分型,底分型,4706.96,4705.6900000000005,4717.99
沪深300,sh000300,2026-01-28,简单上涨,方向,4705.6900000000005,4717.99,4753.87
沪深300,sh000300,2026-01-29,包含关系,包含关系,4717.99,4753.87,4706.34
沪深300,sh000300,2026-01-30,简单下跌,方向,4753.87,4706.34,4605.9800000000005
